,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,log_p
count,5354.0,5354.0,5354.0,5354.0,5354.0
mean,0.7284273440418378,1.9538662682106835,2.4152035861038477,38.14886066492342,1.5778473888681375
std,1.9872155074970719,3.5523783475057096,6.17927576558346,68.96483582870252,6.022071995708518
min,0.0,0.0,0.0,0.0,-21.55600000000005
25%,0.0,0.0,0.0,0.0,-0.5817999999999999
50%,0.0,1.0,0.0,26.02,0.2385999999999999
75%,1.0,2.0,2.0,51.21,1.99502
max,62.0,88.0,150.0,1827.0699999999988,41.40619999999994
