Feature,Pearson_r,Pearson_p,Pearson_CI_lower,Pearson_CI_upper,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,N,Pearson_p_bonf,Spearman_p_bonf,Kendall_p_bonf
molecular_weight,0.05609261130347673,4.014749175179798e-05,0.029349056723188178,0.08275591729729397,0.006375890542874524,0.640910388467612,0.004523042421740791,0.6206135787646824,5354,0.00024088495051078788,1.0,1.0
h_bond_donors,-0.012506452698777521,0.3602272446234894,-0.03928094701761793,0.014285987535718171,0.02161737003187536,0.11374531112821125,0.01670957176289479,0.1149190285740353,5354,1.0,0.6824718667692675,0.6895141714442118
h_bond_acceptors,0.05283306951701164,0.00010988977143799194,0.026082328995001975,0.07950819779626572,0.06265320154905922,4.478630668543608e-06,0.04587951138690671,4.997927376803906e-06,5354,0.0006593386286279516,2.6871784011261647e-05,2.9987564260823432e-05
rotatable_bonds,0.06294439977755664,4.042172976134959e-06,0.03621781365761661,0.0895810084637383,0.06411037624776131,2.6692384651482777e-06,0.04860778116686014,2.261986493232166e-06,5354,2.4253037856809755e-05,1.6015430790889667e-05,1.3571918959392996e-05
tpsa,0.007485918904061214,0.5839444815581498,-0.01930560661718021,0.034266701559270536,0.056646087616531116,3.365440594157905e-05,0.03918889296996995,4.003271610126227e-05,5354,1.0,0.0002019264356494743,0.00024019629660757363
log_p,0.08280005148472082,1.2985902690583024e-09,0.05613691006196338,0.10934517595511194,0.04649983537442069,0.0006653146066650524,0.03152532011409389,0.0005787493939407901,5354,7.791541614349814e-09,0.003991887639990314,0.0034724963636447405
