,F_statistic,p_value
molecular_weight,3.9349393725117925,0.008127282257274243
h_bond_donors,2.885239540364894,0.0343323724453252
h_bond_acceptors,3.7641787020383424,0.010296234899649231
rotatable_bonds,4.201608189982493,0.005609540210222469
tpsa,2.133303329431889,0.09382735481974736
log_p,9.704915135081283,2.19807463475286e-06
