Feature,SHAP_Rank,Permutation_Rank,Correlation_Rank,SHAP_Value,Permutation_Importance,Correlation
molecular_weight,1,1,3,0.4112405902294485,0.26058847916781047,0.056092611303476786
log_p,2,2,1,0.3789210005755826,0.20184210839271702,0.08280005148472082
tpsa,3,3,6,0.2743092189136771,0.04447862022865725,0.007485918904061213
h_bond_acceptors,4,5,4,0.17207016980579445,0.02195752745503319,0.05283306951701153
rotatable_bonds,5,4,2,0.149523510192791,0.02994022670286106,0.06294439977755677
h_bond_donors,6,6,5,0.09361607776025217,0.0013054489238995327,-0.01250645269877756
