,molecular_weight,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,log_p,Delta_PCE
molecular_weight,1.0,0.29271025641806614,0.7093408224937863,0.7994855753284063,0.5287236742895625,0.741337762908942,0.05609261130347675
h_bond_donors,0.29271025641806614,1.0,0.5885872896740176,0.43579249064754955,0.7941605374444862,-0.12264020726584543,-0.012506452698777516
h_bond_acceptors,0.7093408224937863,0.5885872896740176,1.0,0.7375347147455569,0.8595601016851134,0.3300171866901832,0.05283306951701158
rotatable_bonds,0.7994855753284063,0.43579249064754955,0.7375347147455569,1.0,0.596064496434127,0.5469703282224208,0.0629443997775565
tpsa,0.5287236742895625,0.7941605374444862,0.8595601016851134,0.596064496434127,1.0,0.05137426145575569,0.007485918904061261
log_p,0.741337762908942,-0.12264020726584543,0.3300171866901832,0.5469703282224208,0.05137426145575569,1.0,0.08280005148472083
Delta_PCE,0.05609261130347675,-0.012506452698777516,0.05283306951701158,0.0629443997775565,0.007485918904061261,0.08280005148472083,1.0
