Model,CV_R2,Train_R2,Test_R2,Test_RMSE,Test_MAE
Random Forest,0.1342693536593308,0.3004853436991163,0.11171795441566723,3.41784900695916,2.178101237016263
XGBoost,0.11465951406504289,0.20839106986693157,0.10802605632779583,3.424944313164706,2.1690816946377542
Ridge,0.005433161046690449,0.009231336104223664,0.016105865284646304,3.5970925869760815,2.231583104695323
SVR,0.01923267912895747,0.030525025665908534,0.01488930092565266,3.599315764542363,2.2076791856056035
