,importance,stddev,p_value,n,p99_high,p99_low
molecular_weight,0.30768174571188306,0.013188251180619342,4.0407318183106605e-07,5,0.33483653717378076,0.28052695424998536
log_p,0.22711431370837648,0.004427871230980285,1.7328584215194056e-08,5,0.23623136177264906,0.2179972656441039
tpsa,0.16848393155141,0.013564533048064506,4.9983039017385015e-06,5,0.1964134925791454,0.14055437052367462
h_bond_acceptors,0.09405949351778845,0.00878766288431735,9.037051309532225e-06,5,0.11215341285500642,0.07596557418057047
rotatable_bonds,0.08970004020518978,0.007809407795373097,6.825063858428131e-06,5,0.10577971879334933,0.07362036161703023
h_bond_donors,0.046626415483067916,0.0029545541236519566,1.924417926515923e-06,5,0.05270988325994499,0.040542947706190845
